author,title,background,number,difficulty,base_points,learning_objective,product,phrasing_number,question,answer_guidance,answer_1,Notes,match_type_1,answer_1_variable_spl,answer_2,match_type_2,answer_2_variable_spl,answer_3,match_type_3,answer_3_variable_spl,how_to_solve,Answer Logic,hint1,hint1_cost,hint2,hint2_cost,hint3,hint3_cost,hint4,hint4_cost
Dave Piskai,Intro To Splunk Infrastructure Monitoring,Lets take a guided walk-through from the voice of brightest Obersvability minds into our Splunk Infrastructure Monitoring Platform and corresponding capabilies,1,10-Jan,points worth,Splunk Infrastructure Monitoring (SFx),Splunk Infrastructure Monitoring,1,the actual question,"""free hint"" or how to format, etc",the ans,,exact OR regex,,optional,,,optional,,,coaches guide,,give them a hint,how many points?,,,,,,
Dave Piskai,Intro To Splunk Infrastructure Monitoring,Lets take a guided walk-through from the voice of brightest Obersvability minds into our Splunk Infrastructure Monitoring Platform and corresponding capabilies,2,1,100,Splunk Infrastructure Monitoring (SFx),Splunk Infrastructure Monitoring,1,"Navigate to the Alerts tab, Type “e-commerce” into the string search field. What is the name of the alert?","Copy the name of the detector from the ""Detector Name"" column",TMI-SRE E-Commerce - Outlier Disk Usage detector,,,,,,,,,,,,,,,,,,,
Dave Piskai,Intro To Splunk Infrastructure Monitoring,Lets take a guided walk-through from the voice of brightest Obersvability minds into our Splunk Infrastructure Monitoring Platform and corresponding capabilies,3,1,100,Splunk Infrastructure Monitoring (SFx),Splunk Infrastructure Monitoring,1,"Using the “severity circles” at the top of the page, what is the severity of this alert?","Using the “severity circles""",Minor,,,,,,,,,,,,,,,,,,,
Dave Piskai,Intro To Splunk Infrastructure Monitoring,Lets take a guided walk-through from the voice of brightest Obersvability minds into our Splunk Infrastructure Monitoring Platform and corresponding capabilies,4,1,100,Splunk Infrastructure Monitoring (SFx),Splunk Infrastructure Monitoring,1,"In the Alert Message, there’s metadata in the “Next Steps” section which helps us understand more about the specifics of this alert. Which host is impacted by the active alert?","For the first 7 questions, you’ll need to navigate to the alert page located in the top navigation bar.",tmihost11,"Need to add dimension - Should this be Region instead of datacenter since the additional details reference GCP/GKE?
(Dave 10/5: updated)",exact,,,,,,,,,,,,,,,,,
Dave Piskai,Intro To Splunk Infrastructure Monitoring,Lets take a guided walk-through from the voice of brightest Obersvability minds into our Splunk Infrastructure Monitoring Platform and corresponding capabilies,5,1,100,Splunk Infrastructure Monitoring (SFx),Splunk Infrastructure Monitoring,1,"Open the detector (Explore Further -> Open Detector), and then edit the Detector Rule (blue “Edit” button on the right). What “Alert Condition” is being utilized here? 
","For the first 7 questions, you’ll need to navigate to the alert page located in the top navigation bar.",Outlier Detection,"update condition: Outlier
(Dave 10/5: updated)",exact,,,,,,,,,,,,,,,,,
Dave Piskai,Intro To Splunk Infrastructure Monitoring,Lets take a guided walk-through from the voice of brightest Obersvability minds into our Splunk Infrastructure Monitoring Platform and corresponding capabilies,6,1,100,Splunk Infrastructure Monitoring (SFx),Splunk Infrastructure Monitoring,1,Navigate to “4. Alert Settings”. Click “Show advanced settings”. What is the value of “Trigger Threshold”?,,3.5,,,,,,,,,,,,,,,,,,,
Dave Piskai,Intro To Splunk Infrastructure Monitoring,Lets take a guided walk-through from the voice of brightest Obersvability minds into our Splunk Infrastructure Monitoring Platform and corresponding capabilies,6,1,100,Splunk Infrastructure Monitoring (SFx),Splunk Infrastructure Monitoring,1,"(multiple choice?) What does this threshold value represent? (hint, tooltip)
A. The number of times this detector has fired in the past day 
B. The number of deviations that one signal must differ from the rest of the population for this detector to trigger an alert (“deviations from norm”)
C. The count of customers included in this alert 
D. The number of heartbeat checks that fail before this detector will trigger an alert","For the first 7 questions, you’ll need to navigate to the alert page located in the top navigation bar.",B,,exact,,,,,,,,,,,,,,,,,
Dave Piskai,Intro To Splunk Infrastructure Monitoring,Lets take a guided walk-through from the voice of brightest Obersvability minds into our Splunk Infrastructure Monitoring Platform and corresponding capabilies,7,1,200,Splunk Infrastructure Monitoring (SFx),Splunk Infrastructure Monitoring,1,"(multiple choice?) Modify the value of the “Trigger Threshold” to “2” and the “Clear Threshold to “1.5” (the error message will let you know why). The “Preview” will run. What is the preview used for? 
A. Back-testing the alert using historical data to better understand detector behavior (when does it fire, when does it clear, will it catch a condition seen recently?)
B. To check the weather. 
C. To determine when something is bad
D. To find the root cause of an issue
","For the first 7 questions, you’ll need to navigate to the alert page located in the top navigation bar.",A,,exact,,,,,,,,,,,,,,,,,
Dave Piskai,Navigating Splunk Infrastructure Monitoring using dashboards/charts,"Now that you are familiar with basic navigation in Splunk Infrastructure Monitoring, It's time to dive in a bit more and look around.",8,1,100,Splunk Infrastructure Monitoring (SFx),Splunk Infrastructure Monitoring,1,Open the “Average Host CPU” chart to edit by clicking on the name of the chart. What is the “metric name” or the name of the “signal”?,"For this question you will use the ""TMI Overview"" Dashboard Group to find the answers. You will modify charts, but since these have been write-protected (ie. they’re “read only”) you won’t be able to save the modified charts. Don’t worry, you’ll just use them to answer the questions. ",cpu.utilization,,exact,,,,,,,,,,,,,,,,,
Dave Piskai,Navigating Splunk Infrastructure Monitoring using dashboards/charts,"Now that you are familiar with basic navigation in Splunk Infrastructure Monitoring, It's time to dive in a bit more and look around.",9,,100,Splunk Infrastructure Monitoring (SFx),Splunk Infrastructure Monitoring,1,What is the name of the F(x) that is being applied to the signal?,"For this question you will use the ""TMI Overview"" Dashboard Group to find the answers. You will modify charts, but since these have been write-protected (ie. they’re “read only”) you won’t be able to save the modified charts. Don’t worry, you’ll just use them to answer the questions. ",mean,,exact,,,,,,,,,,,,,,,,,
