author,title,background,number,difficulty,base_points,learning_objective,product,phrasing_number,question,answer_guidance,answer_1,match_type_1,answer_1_variable_spl,answer_2,match_type_2,answer_2_variable_spl,answer_3,match_type_3,answer_3_variable_spl,how_to_solve,Answer Logic,hint1,hint1_cost,hint2,hint2_cost,hint3,hint3_cost,hint4,hint4_cost,Coaches Guide Notes
BDB,Introduction,Click on the YouTube link provided to you to watch the introduction video ,1,1,100,Narration ,Video,1,What Racing Platform was used for the Virtual Race 2 .conf?,Refer to the video ,iRacing Platform ,exact,,iracing platform,exact,,iracing,exact,,Watch YouTube Video ,,It is the racing simulator referenced in the YouTube video,25,,,,,,,
BDB,Introduction,same as above,2,1,100,Narration ,Video,1,"For the data set being used for the BOTN, where did we race?",Refer to the video ,Tsukuba Circuit ,exact,,Tsukuba,exact,,,,,Watch YouTube Video ,,Starts with a T but sounds like it starts with a S,25,,,,,,,
BDB,Introduction,same as above,3,1,100,Narration ,Video,1,"For the data set being used for the BOTN, when was the race?",Refer to the video ,August 3rd 2020,exact,,08/03/2020,exact,,3 Aug 2020,Exact,,Watch YouTube Video ,,MM/DD/YYYY format,25,,,,,,,
BDB,Introduction,same as above,4,1,100,Narration ,Video,1,What was the format for the event? (What are the 3 segments) ,Refer to the video ,"Practice, Qualifying, Race",exact,,,,,,,,Watch YouTube Video ,,The three segments Cory referenced in the video,25,,,,,,,
BDB,Introduction,same as above,5,1,100,Narration ,Video,1,What time should the race have started ,Refer to the video ,17:30 ET,exact,,5:30 ET,,,5:30,,,Watch YouTube Video ,,Times are in ET,25,,,,,,,
BDB,Let's Look Under The Hood,"Let's get familiar with the data we collected for our VR2C.  First, go to the BOTN - VR2C App in Splunk and explore the data",6,2,200,Investigation,Core,1,How many total events are there in the iracing index?,Looking for all the events in this index,189626,exact,,,,,,,,Go to BOTN-VR2C app and search for all events in the iracing index,index=iracing // Time Picker is set to all time,Set Time Picker to All Time,50,,,,,,,
BDB,Let's Look Under The Hood,same as above,7,2,200,Investigation,Core,1,"Change the Time Picker to only show events related to the Tsukiba Race, how many events are there?",Looking for only the events that were apart of the race portion of Tsukuba,57622,exact,,,,,,,,Change time picker from All Time to Tsukuba Race,index=iracing // Time Picker is set to Tsukuba,Set Time Picker to Tsukuba Race,50,,,,,,,
BDB,Let's Look Under The Hood,same as above,8,2,200,Investigation,Core,1,"Add the ""normalisedrace"" source to your search.  How many events are there now?  ",Search will include events from only one source,55053,exact,,,,,,,,Add normalisedrace source to seach,"index=""iracing"" source=NormalisedRace // Time Picker is set to Tsukuba Race",Sources are found in Selected Fields,50,,,,,,,
BDB,Let's Look Under The Hood,same as above,9,2,200,Investigation,Core,1,How many hosts are sending data?,host is a selected field,13,exact,,,,,,,,Run same search as last question and look at number of values under host,"index=""iracing"" source=NormalisedRace // Time Picker is set to Tsukuba Race",Use the same search as before ,50,,,,,,,
BDB,Let's Look Under The Hood,same as above,10,3,300,Investigation,Core,1,Which host had the most events?,Which host has the top value,Intel,exact,,,,,,,,Run same search as last question and look at host values,"index=""iracing"" source=NormalisedRace // Time Picker is set to Tsukuba Race",Click on the host field,75,,,,,,,
BDB,Let's Look Under The Hood,same as above,11,5,500,Investigation,Core,1,How many fields are there?,"Use seach, dont count the fields",98,exact,,,,,,,,Run Search ,"index=iracing source=""normalisedrace"" | fieldsummary| stats count",fieldsummary is the command,100,,,,,,,
BDB," I've got a need, a need for Speed! ",For this section we are going to explore what everyone wants to know... how fast did everyone go and is that important?  You will be using the same base search and time picker from the previous section,12,3,300,Speed,Core,1,What was the top speed reached during the race?,Speed is in MPH,135 MPH,exact,,135,Exact,,,,,Run search in Splunk ,"index=""iracing"" source=NormalisedRace| stats max(Speed) as Speed",The Stats Command is your friend,75,You are looking for Max speed,100,,,,,
BDB," I've got a need, a need for Speed! ",same as above,13,3,300,Speed,Core,1,Which racer had the fastest speed (rounded to the nearest integer)?,Each host was a racer and there might be more than 1,Cory,exact,,McLaren 1,Exact,,Splunk 3,Exact,,Run search in Splunk ,"index=""iracing"" source=NormalisedRace | stats max(Speed) as Speed by host | sort - Speed",From your previous seach which host posted the fastes speed?,75,By the Stats to the Max,50,,,,,
BDB," I've got a need, a need for Speed! ",same as above,14,3,300,Speed,Core,1,What was the average speed for the race? (Round to the nearest integer),Looking for the total average speed,63 MPH,exact,,63,Exact,,,,,Run search in Splunk ,"index=""iracing"" source=NormalisedRace | stats avg(Speed) as Speed | eval Speed = round(Speed, 0)",Eval can help Round,75,Avg works with Stats,50,,,,,
BDB," I've got a need, a need for Speed! ",same as above,15,4,400,Speed,Core,1,Which Racer had the fastest average speed?,Each host was a racer and there might be more than 1,McLaren 1,exact,,,,,,,,Run search in Splunk ,"index=""iracing"" source=NormalisedRace | stats avg(Speed) as Speed by host | eval Speed = round(Speed, 0) | sort -Speed",host is a clause for your first command,80,Use the Stats,50,,,,,
BDB,"Rubbin' is Racing, how much damage did we cause?",For this section we are going to explore how good the racees actually were.  We are going to look at how much damage they caused and the effect on the race.  You will be using the same base search and time picker from the previous section,16,4,400,Damage,Core,1,What was the total amount of Incident points in the race?,Incident points are found in the PlayerCarMyIncidentCount field,226,exact,,,,,,,,"Run search in Splunk.  Because its a sum of max incident points, you need to find by host and then add.","index=iracing source=NormalisedRace | stats max(PlayerCarMyIncidentCount) as ""Total Incidents"" by host | addcoltotals labelfield=Total | reverse",You will need to find out how many incident points each host got and then add them together,80,addcoltotals will help you not have to do math,50,,,,,
BDB,"Rubbin' is Racing, how much damage did we cause?",same as above,17,3,300,Damage,Core,1,Which Racer had the most incident points,We are looking for most incident points at the end of the race,Intel,exact,,,,,,,,"Run the search in Splunk.  Because incdient points are apart of each log, you need to get the max number not sum the events.","index=iracing source=NormalisedRace | stats max(PlayerCarMyIncidentCount) as ""Total Incidents"" by host | sort - ""Total Incidents"" | head 1",Look for the max number for each host,75,do not sum a host's incident points,50,,,,,
BDB,"Rubbin' is Racing, how much damage did we cause?",same as above,18,3,300,Damage,Core,1,Who had the least incident points?,We are looking for who had the least incident points at the end of the race,Splunk 4,exact,,,,,,,,"Run the search in Splunk.  Because incdient points are apart of each log, you need to get the max number at the end of the race and see which one is the least","index=iracing source=NormalisedRace   | stats max(PlayerCarMyIncidentCount) as ""Total Incidents"" by host | sort - ""Total Incidents"" | tail  1",You can run the same search as the last question and take the opposite,75,,,,,,,
BDB,"Rubbin' is Racing, how much damage did we cause?",same as above,19,5,500,Damage,Core,1,How many Pit Stops were there in the Race?,Assume pit stops take 3 minutes so events should be grouped in 3  min intervals,21,exact,,,,,,,,Run the search in Splunk.  You will need to do a transaction command for maxspan of 3 minutes and count number of times PlayerCarInPitStop = True,"index=iracing source=NormalisedRace PlayerCarInPitStall = true | transaction PlayerCarInPitStall maxspan=3m | stats count(PlayerCarInPitStall) as ""Total Pit Stops"" by host | addcoltotals labelfield=Total | reverse",Transaction Command in 3 min intervals will bucket pitstops,100,PlayerCarInPitStop = True is a pit stop,,,,,,
