author,title,background,number,difficulty,base_points,learning_objective,product,phrasing_number,question,answer_guidance,answer_1,match_type_1,answer_1_variable_spl,answer_2,match_type_2,answer_2_variable_spl,answer_3,match_type_3,answer_3_variable_spl,how_to_solve,Answer Logic,hint1,hint1_cost,hint2,hint2_cost,hint3,hint3_cost,hint4,hint4_cost,Coaches Guide Notes
David Lee,Laying the groundwork,"Marketing has invested $250,000 for this year to build new content. Let's take a look at the data to answer the questions.",1,1,100,"Get the right time, index, sourcetype, and to understand that there are crucial information in the fields",Core,1,"Looking at July of this year, Which field in the lendur_web index marketing:access sourcetype looks to contain the names of the content that marketing has developed/published?",There are multiple answers. Just enter one of them.,file,exact,,resource,exact,,uri_path,exact,,coaches guide,index=lendur_websitesite sourcetype=marketing:access | table file resource uri_path,Look for the field that has the article heloc-home-equity-line-of-credit-explained,10,,,,,,,
David Lee,Laying the groundwork,"Marketing has invested $250,000 for this year to build new content. Let's take a look at the data to answer the questions.",1,1,100,"Get the right time, index, sourcetype, and to understand that there are crucial information in the fields",Core,2,"Looking at July of this year, Which fields in the lendur_web index marketing:access sourcetype contain the names of the content that marketing has developed/published? A) index, sourcetype, host B) file, method, referer C) file, uri, uri_path D) uri, uri_path, uri_query",,C,exact,,,,,,,,,index=lendur_websitesite sourcetype=marketing:access | table file resource uri_path,Look for the field that has the article heloc-home-equity-line-of-credit-explained,10,,,,,,,
David Lee,Laying the groundwork,"Marketing has invested $250,000 for this year to build new content. Let's take a look at the data to answer the questions.",2,1,100,Understand that the referer field is linked with the articles,Core,1,The field you found in Question 1 has a lot of other data in it. There is another field you can use to help narrow down the content to only focus on the marketing content. Which field will help narrow down the marketing content?,,referer,exact,,,,,,,,,index=lendur_websitesite sourcetype=marketing:access | dedup referer | table referer,Look for marketing in a field,10,,,,,,,
David Lee,Laying the groundwork,"Marketing has invested $250,000 for this year to build new content. Let's take a look at the data to answer the questions.",2,1,100,Understand that the referer field is linked with the articles,Core,2,The field you found in Question 1 has a lot of other data in it. Which field will help narrow down the marketing content? A) referer B) uri C) method D) clientip,,A,exact,,,,,,,,,index=lendur_websitesite sourcetype=marketing:access | dedup referer | table referer,Look for marketing in a field,10,,,,,,,
David Lee,Laying the groundwork,"Marketing has invested $250,000 for this year to build new content. Let's take a look at the data to answer the questions.",3,3,300,Understand that the referer field has marketing data you can use to filter,Core,1,"The field you found in Question 2 also has a lot of other data in it like redirects and data from the portal.lendurmortgage.com. After you remove those events from your search, you will be left with marketing content and landing pages. Name one of the values (in that field from question 2) that contains marketing data.",,/*marketing,regex,,,,,,,,,index=lendur_websitesite sourcetype=marketing:accesssite NOT portal.lendurmortgage.com NOT redirect referer=*marketing | dedup referer | table referer,Filter out redirects AND portal.lendurmortgage.com from your search,30,Look for the word marketing in a particular field,60,,,,,
David Lee,Laying the groundwork,"Marketing has invested $250,000 for this year to build new content. Let's take a look at the data to answer the questions.",3,3,300,Understand that the referer field has marketing data you can use to filter,Core,2,"The field you found in Question 2 also has a lot of other data in it like redirects and data from the portal.lendurmortgage.com. After you remove those events from your search, you will be left with marketing content and landing pages. Which one of the following is a name of the values (in that field from question 2) that contains marketing data? A) /purchase-marketing B) /funding-marketing C) /refinance D) /newloan-marketing",,A,regex,,,,,,,,,index=lendur_websitesite sourcetype=marketing:accesssite NOT portal.lendurmortgage.com NOT redirect referer=*marketing | dedup referer | table referer,Filter out redirects AND portal.lendurmortgage.com from your search,30,Look for the word marketing in a particular field,60,,,,,
David Lee,Starting the analysis,"This project launched this year, the following questions will help guide the gamer to do the analysis",4,2,200,Understand how many existing articles Lendur had,Core,1,"Now, combining the knowledge you've discovered in the first couple of questions, how many articles were available on the website in February of this year?",Do not include /purchase nor /refinance,9,exact,,nine,exact,,,,,,"index=lendur_website sourcetype=marketing:accesssite referer=*marketing NOT(file IN (""purchase"",""refinance"")) earliest=1580544000 latest=1583049600 | stats count by file",,,,,,,,,
David Lee,Starting the analysis,"This project launched this year, the following questions will help guide the gamer to do the analysis",4,2,200,Understand how many existing articles Lendur had,Core,2,"Now, combining the knowledge you've discovered in the first couple of questions, how many articles were available on the website in February of this year? A) 7 B) 9 C) 11 D)13",Do not include /purchase nor /refinance,B,exact,,,,,,,,,"index=lendur_website sourcetype=marketing:accesssite referer=*marketing NOT(file IN (""purchase"",""refinance"")) earliest=1580544000 latest=1583049600 | stats count by file",,,,,,,,,
David Lee,Starting the analysis,"This project launched this year, the following questions will help guide the gamer to do the analysis",5,2,200,Understand how many new articles Lendur had created,Core,1,How many articles were available on the website in August of this year?,Do not include /purchase nor /refinance,66,exact,,sixtysix,exact,,sixty[\s|\-]six,regex,,,"index=lendur_website sourcetype=marketing:accesssite referer=*marketing NOT(file IN (""purchase"",""refinance"")) earliest=1596265200 latest=1598943600 | stats count by file",,,,,,,,,
David Lee,Starting the analysis,"This project launched this year, the following questions will help guide the gamer to do the analysis",5,2,200,Understand how many new articles Lendur had created,Core,2,How many articles were available on the website in August of this year? A) 11 B) 35 C) 66 D) Too many,Do not include /purchase nor /refinance,D,exact,,,,,,,,,"index=lendur_website sourcetype=marketing:accesssite referer=*marketing NOT(file IN (""purchase"",""refinance"")) earliest=1596265200 latest=1598943600 | stats count by file",,,,,,,,,
