author,title,background,number,difficulty,base_points,learning_objective,product,phrasing_number,question,answer_guidance,answer_1,match_type_1,answer_1_variable_spl,answer_2,match_type_2,answer_2_variable_spl,answer_3,match_type_3,answer_3_variable_spl,how_to_solve,Answer Logic,hint1,hint1_cost,hint2,hint2_cost,hint3,hint3_cost,hint4,hint4_cost,Coaches Guide Notes
jeagle,OAR Questions,TMI App > Email,1,5,500,TMI App > Email,TMI App > Email,1,"Ace just checked his email and found that a Notable Event was resolved automatically by Phantom the night before. TMI just started using Phantom for Orchestration, Automation and Response so Ace isn't too sure what this means. Let's check out some details about what happened last night. What was the name of the notable event that kicked off a phantom playbook?",TBD,NGINX Performance Degrading,exact,,,,,,,,"It will say in the email or users can navigate to Episode Review and search for ""phantom""",,,,,,,,,,
jeagle,OAR Questions,ITSI,2,2,250,ITSI,ITSI,1,"Ace can get a lot of information by digging into the Notable Event (NE) from Episode Review. For example, what is the name of the Notable Event Aggregation Policy (NEAP) for this event?",TBD,Phantom Automation,exact,,,,,,,,,,,,,,,,,,
jeagle,OAR Questions,ITSI,3,1,50,ITSI,ITSI,1,What is the field name (Filtering criteria) used to group notable events for this NEAP?,TBD,phantom_label,exact,,,,,,,,,,,,,,,,,,
jeagle,OAR Questions,ITSI,4,3,300,ITSI,ITSI,1,What is the name of the correlation search for this NE?,TBD,NGINX_HighResponseTime_w_500Errors,exact,,,,,,,,,,Navigate to the list of correlation searches and find one also referencing NGINX,,,,,,,,
jeagle,OAR Questions,ITSI,5,2,200,ITSI,ITSI,1,The correlation search is firing a NE when two parameters are met together. What are the two field names? (format in order of correlation search separated by a comma),TBD,"AvgResponseTime, ServerErrorCount",exact,,,,,,,,,,,,,,,,,,
jeagle,OAR Questions,ITSI,6,4,400,ITSI,ITSI,1,"Continuing to investigate via the different panes in the NE from Episode Review, Ace can see that this NE was successfully sent to Phantom. Which Action was executed to do so?",TBD,itsi_event_action_send_to_phantom,exact,,,,,,,,,,Look in the Activity pane or in docs,,,,,,,,
jeagle,OAR Questions,Phantom,7,5,500,Phantom,Phantom,1,Ace decides to check out Phantom to further investigate. What is the name of the Phantom playbook that this NE called?,"You can hyperlink directly to the Phantom event from ITSI Notable Event! (make sure you are in Analyst mode in Phantom, not summary, so you can get the full view)",NGINX_Remediate_Docker_Containers,exact,,,,,,,,,,,,,,,,,,
jeagle,OAR Questions,Phantom,8,1,50,Phantom,Phantom,1,What command was run on the first Action block of the playbook?,TBD,sudo docker ps,exact,,,,,,,,,,,,,,,,,,
jeagle,OAR Questions,Phantom,9,3,300,Phantom,Phantom,1,Phantom Apps are bundles of Python code and other configuration files that instruct Phantom how to communicate with another device or service and command something of those other tools. Which App is being used for the first block in this playbook?,TBD,ssh,exact,,,,,,,,,,,,,,,,,,
jeagle,OAR Questions,Phantom,10,2,200,Phantom,Phantom,1,"If the App is how you communicate with the device or service, the actions are the commands you want to send to it. What supported action of this app is being executed?",TBD,execute program,exact,,,,,,,,,,,,,,,,,,
jeagle,OAR Questions,Phantom,11,1,50,Phantom,Phantom,1,"After the offending container is found, what command is run?",TBD,sudo docker kill,exact,,,,,,,,,,,,,,,,,,
jeagle,OAR Questions,Phantom,12,3,300,Phantom,Phantom,1,What was the name/tag of the offending container?,TBD,0e8bc65b11ca,exact,,,,,,,,,,,,,,,,,,
jeagle,OAR Questions,Phantom,13,2,200,Phantom,Phantom,1,What artifact is required to run this command on the offending container?,TBD,hostname,exact,,,,,,,,,,,,,,,,,,
jeagle,OAR Questions,Phantom,14,6,600,Phantom,Phantom,1,"If this playbook successfully creates a new docker image, it reports back to ITSI that it was successful and updates the NE to Resolved. Ace notices that there is not an action for if that fails. He wants to create a new action block to update the episode to Pending if container creation fails. What is the app and action required to set this up? (In format App > Action",TBD,Splunk IT Service Intelligence > update episode,exact,,,,,,,,,,,,,,,,,,
jeagle,OAR Questions,Phantom,15,5,500,Phantom,Phantom,1,"Now that Ace has a good understanding of what the playbook is doing, he switches back to the phantom event. What was the last action executed on this event?",TBD,SetEpisodeResolved,exact,,,,,,,,,,,,,,,,,,
